name	depth	num_bases_at_depth	size_of_feature	pros_of_A_at_depth
all	593	1235	971256	0.0012715
all	594	1019	971256	0.0010492
all	595	1155	971256	0.0011892
all	596	1309	971256	0.0013477
all	597	1306	971256	0.0013447
all	598	1169	971256	0.0012036
all	599	1341	971256	0.0013807
all	600	1372	971256	0.0014126
all	601	1146	971256	0.0011799
all	602	1137	971256	0.0011706
all	603	1298	971256	0.0013364
all	604	1312	971256	0.0013508
all	605	1339	971256	0.0013786
all	606	1130	971256	0.0011634
all	607	1398	971256	0.0014394
all	608	1160	971256	0.0011943
all	609	1547	971256	0.0015928
all	610	1408	971256	0.0014497
all	611	1197	971256	0.0012324
all	612	1320	971256	0.0013591
all	613	1243	971256	0.0012798
all	614	1254	971256	0.0012911
all	615	1375	971256	0.0014157
all	616	1335	971256	0.0013745
all	617	1221	971256	0.0012571
all	618	971	971256	9.997e-4
all	619	1390	971256	0.0014311
all	620	1360	971256	0.0014002
all	621	1338	971256	0.0013776
all	622	1235	971256	0.0012715
all	623	1181	971256	0.001216
all	624	1080	971256	0.001112
all	625	1121	971256	0.0011542
all	626	1254	971256	0.0012911
all	627	985	971256	0.0010142
all	628	1191	971256	0.0012262
all	629	1114	971256	0.001147
all	630	1006	971256	0.0010358
all	631	1145	971256	0.0011789
all	632	1194	971256	0.0012293
all	633	1227	971256	0.0012633
all	634	980	971256	0.001009
all	635	1250	971256	0.001287
all	636	1156	971256	0.0011902
all	637	1282	971256	0.0013199
all	638	1301	971256	0.0013395
all	639	1185	971256	0.0012201
all	640	1180	971256	0.0012149
all	641	1280	971256	0.0013179
all	642	1152	971256	0.0011861
all	643	1371	971256	0.0014116
all	644	1024	971256	0.0010543
all	645	1148	971256	0.001182
all	646	1611	971256	0.0016587
all	647	1067	971256	0.0010986
all	648	1186	971256	0.0012211
all	649	946	971256	9.74e-4
all	650	1120	971256	0.0011531
all	651	1378	971256	0.0014188
all	652	1395	971256	0.0014363
all	653	1232	971256	0.0012685
all	654	1199	971256	0.0012345
all	655	1358	971256	0.0013982
all	656	1240	971256	0.0012767
all	657	1174	971256	0.0012087
all	658	1236	971256	0.0012726
all	659	1129	971256	0.0011624
all	660	1190	971256	0.0012252
all	661	1333	971256	0.0013724
all	662	1085	971256	0.0011171
all	663	1016	971256	0.0010461
all	664	1080	971256	0.001112
all	665	1117	971256	0.0011501
all	666	1143	971256	0.0011768
all	667	1074	971256	0.0011058
all	668	1011	971256	0.0010409
all	669	1106	971256	0.0011387
all	670	1130	971256	0.0011634
all	671	1208	971256	0.0012438
all	672	1071	971256	0.0011027
all	673	1222	971256	0.0012582
all	674	1174	971256	0.0012087
all	675	870	971256	8.957e-4
all	676	1219	971256	0.0012551
all	677	1144	971256	0.0011779
all	678	1311	971256	0.0013498
all	679	1094	971256	0.0011264
all	680	1136	971256	0.0011696
all	681	1097	971256	0.0011295
all	682	1189	971256	0.0012242
all	683	1165	971256	0.0011995
all	684	1012	971256	0.0010419
all	685	1181	971256	0.001216
all	686	1148	971256	0.001182
all	687	1155	971256	0.0011892
all	688	1270	971256	0.0013076
all	689	1441	971256	0.0014836
all	690	1283	971256	0.001321
all	691	1217	971256	0.001253
all	692	1505	971256	0.0015495
all	693	1603	971256	0.0016504
all	694	1300	971256	0.0013385
all	695	1290	971256	0.0013282
all	696	1407	971256	0.0014486
all	697	1283	971256	0.001321
all	698	1220	971256	0.0012561
all	699	1155	971256	0.0011892
all	700	1276	971256	0.0013138
all	701	1300	971256	0.0013385
all	702	1347	971256	0.0013869
all	703	1129	971256	0.0011624
all	704	1568	971256	0.0016144
all	705	1621	971256	0.001669
all	706	1291	971256	0.0013292
all	707	1395	971256	0.0014363
all	708	1273	971256	0.0013107
all	709	1449	971256	0.0014919
all	710	1174	971256	0.0012087
all	711	1484	971256	0.0015279
all	712	1440	971256	0.0014826
all	713	1270	971256	0.0013076
all	714	1183	971256	0.001218
all	715	1234	971256	0.0012705
all	716	1344	971256	0.0013838
all	717	1413	971256	0.0014548
all	718	1136	971256	0.0011696
all	719	1427	971256	0.0014692
all	720	1303	971256	0.0013416
all	721	1379	971256	0.0014198
all	722	1267	971256	0.0013045
all	723	1339	971256	0.0013786
all	724	1370	971256	0.0014105
all	725	1467	971256	0.0015104
all	726	1156	971256	0.0011902
all	727	1282	971256	0.0013199
all	728	1146	971256	0.0011799
all	729	1130	971256	0.0011634
all	730	1312	971256	0.0013508
all	731	937	971256	9.647e-4
all	732	1325	971256	0.0013642
all	733	1404	971256	0.0014456
all	734	1297	971256	0.0013354
